MUNICIPIO,Latitud,Longitud
COCORNA,6.0580111,-75.1859102
CIRCASIA,4.6075667,-75.66670665407705
EL TAMBO,2.4511923,-76.8117409
TABIO,4.95238945,-74.07900673977333
CANDELARIA,10.4903807,-74.86683760095967
PIVIJAY,10.4654031,-74.6169599
JERUSALEN,2.8996557999999997,-76.46338251906886
DURANIA,7.7141729,-72.6566936
MIRANDA,3.2511475,-76.2291572
HATO COROZAL,6.0567773,-71.61494007417981
EL DONCELLO,1.6815919,-75.2844565
SACAMA,6.098907,-72.2487665
SAN LUIS DE SINCE,9.2191217,-75.1292839
SAN JOSE,4.95817625,-75.71511330425317
BUESACO,1.384101,-77.156619
PUERTO LEGUIZAMO,-0.1949861,-74.7806975
TITIRIBI,6.065428300000001,-75.80344879401983
GUADALAJARA DE BUGA,3.9000578,-76.302013
SOPO,4.8931442,-73.95341365530066
SANTO TOMAS,10.730191399999999,-74.80133255170662
ARAUCA,6.6666755,-71.0000086
LA MESA,4.6480046999999995,-74.48917797514275
CRAVO NORTE,6.2991553,-70.20646
OSPINA,1.0297274500000002,-77.54811325840083
TINJACA,5.572943,-73.67092178191179
ARATOCA,6.6945729,-73.0187027
SAN MARTIN DE LOBA,4.8071269999999995,-75.7017942722062
IQUIRA,2.6499277,-75.6352082
GACHALA,4.6642049,-73.49116054386022
MONGUI,11.2286589,-72.8216978
AGUAZUL,5.1708408,-72.550846
CURILLO,1.0326931,-75.9193814
MONTELIBANO,4.78840845,-75.72685897077454
VILLA RICA,3.1819317,-76.46022266463663
AGUACHICA,8.309416,-73.603699
PALOCABILDO,5.1219918,-75.0222273
SAN JOSE DE URE,7.7857846,-75.5344902
GUATAQUI,4.5181995,-74.7899996
PUERTO ASIS,0.8875425,-69.9794511
PAICOL,2.4487125,-75.7747485
BELEN,8.2273769,-73.3362753
CASABIANCA,5.0046769,-75.1948929
CABUYARO,4.3129278,-72.92879921654097
PAEZ,2.92296655,-76.4640462290593
SANTA MARIA,4.82134675,-73.27213961772512
LA TOLA,2.3995791,-78.1882925
VERSALLES,8.6424004,-72.9093
BARRANCAS,10.9782843,-72.6961176191123
QUIBDO,5.6923407,-76.6583801
SANTIAGO,7.8644479,-72.7165562
VILLA DE LEYVA,5.6619877,-73.52838010360202
EL MOLINO,10.6284107,-72.87309324366868
SAN ANDRES,4.90199215,-75.70131910681533
NUEVA GRANADA,9.8018198,-74.3923786
NOBSA,5.7705609,-72.9397458
SAN DIEGO,10.3326328,-73.1796691
BETEITIVA,5.92236905,-72.85902530278791
RIOBLANCO,3.5310723,-75.6452086
SACHICA,5.57776855,-73.53993302727949
SANDONA,1.2863843,-77.4710722
GRANADA,6.1442998,-75.1844057
OROCUE,4.789484,-71.3406351
LA MACARENA,4.4689022,-74.2579817
ANSERMANUEVO,4.7957054,-75.9937832
YOLOMBO,6.66856225,-74.63140126236799
BUGALAGRANDE,4.2138883,-76.1571129
CORINTO,3.1439306499999997,-76.20024889711436
SASAIMA,4.94787605,-74.42674682897571
MANATI,10.4470319,-74.9594166
PUERTO LIBERTADOR,7.696093100000001,-75.76757303723957
GUATAVITA,4.9043434999999995,-73.77995046211434
CAJIBIO,2.0282814,-76.6166262
ZAPATOCA,6.8166596,-73.2686529
FLANDES,4.2864999,-74.813697
CACOTA,7.2684542,-72.6419655
SAN MATEO,6.4167219499999995,-72.57682123606187
EL COCUY,6.35469355,-72.4156710542612
SAN BENITO ABAD,8.79099315,-74.94764942859982
PUERTO COLOMBIA,10.99730645,-74.91645312741016
PATIA,2.07501,-77.0616762
ARANZAZU,5.2711368,-75.4904079
BAGADO,5.4116935,-76.4159671
LA APARTADA,8.041099899999999,-75.31363290001408
PUEBLOVIEJO,10.833052949999999,-74.3679709249293
YUMBO,3.5834664,-76.4952223
ALMAGUER,1.9142744,-76.8548514
EL SANTUARIO,6.12326265,-75.26507789581004
EL CARMEN DE ATRATO,5.838906550000001,-76.2079696572246
COTA,4.8093624,-74.1015739
OLAYA,6.6276127,-75.8127419
LA PALMA,5.3606208,-74.3905123
MOGOTES,6.4769907,-72.9706464
ROLDANILLO,4.4091166,-76.1543744
ANORI,7.0736127,-75.1466433
CHARALA,6.2855414,-73.1442124
MARINILLA,6.1786601,-75.30686677861294
MACANAL,4.98185045,-73.28546066152629
VITERBO,5.0618565,-75.8734996
EL PASO,9.6589481,-73.7504695
LETICIA,-4.2129211,-69.9425963
CAJAMARCA,4.4419656,-75.4268205
SAN BENITO,6.10322645,-73.53013869505091
NILO,4.3065906,-74.6197608
MONITOS,9.2460394,-76.1315965
CALAMAR,10.2526122,-74.9146691
PALESTINA,1.7229505,-76.1311882
TIBU,8.7828443,-72.8988647
TRUJILLO,4.2123039,-76.3188928
TELLO,3.067211,-75.1392845
SAN ALBERTO,7.7611095,-73.3932831
SANTA MARTA,11.2320944,-74.1950916
SAN JOSE DE LA MONTANA,6.81614395,-75.6753094098452
CAUCASIA,7.8276894,-75.04524822749215
INZA,2.5500211,-76.0643978
SOCOTA,6.0412437,-72.6365858
SAN BERNARDO DEL VIENTO,9.33022695,-75.9948706725043
SANTO DOMINGO,6.471221,-75.1643724
LABRANZAGRANDE,5.54539925,-72.5974873013792
ALMEIDA,4.971164,-73.3788228
DON MATIAS,6.4833333,-75.4
GONZALEZ,8.39523625,-73.37369796604557
GAMBITA,5.91628015,-73.31589722541469
VELEZ,9.1087976,-75.0944709
GUARNE,6.2800171,-75.4426875
PUERTO RICO,8.48191435,-74.28364106210539
EL PLAYON,7.52300075,-73.19786585908766
TUBARA,10.8993966,-74.98631013631203
SAN MARCOS,8.6618609,-75.1307644
FUENTE DE ORO,3.4639497,-73.6213964
SITIONUEVO,10.7770014,-74.7206038
BELEN DE LOS ANDAQUIES,1.4200848,-75.8714223
EL ROBLE,9.1037704,-75.1952621
POLICARPA,1.6284964,-77.4598774
SANTA ROSA DE OSOS,6.7049255500000005,-75.46903523835907
SANTA LUCIA,4.83209325,-75.66979236877302
HATONUEVO,11.0675576,-72.7600808
SAPUYES,1.0418207499999999,-77.706280230022
CUCUTA,8.07761875,-72.46890019811272
SAHAGUN,8.79743105,-75.45217724273058
CHAPARRAL,3.7245851,-75.485156
SOLITA,0.8767264,-75.6190438
MOTAVITA,5.6124101500000005,-73.37766150522931
TOGUI,5.9333333,-73.5
AGRADO,2.2632959,-75.71500368269609
PENOL,6.2333333,-75.2166667
SANTANA,6.055599150000001,-73.48209236741033
FRESNO,5.1516594,-75.0366354
CASTILLA LA NUEVA,3.8275343,-73.6892805
PITALITO,1.8171632,-76.10213621847218
PUERTO ESCONDIDO,9.0142629,-76.2625983
AMBALEMA,4.7835866,-74.7643927
VILLAHERMOSA,4.9765885,-75.1666117
